@attribute 'UnaryExpr' integer
@attribute 'UnionType' integer
@attribute 'UnknownType' integer
@attribute 'VariableDeclarationExpr' integer
@attribute 'VariableDeclarator' integer
@attribute 'VoidType' integer
@attribute 'WhileStmt' integer
@attribute 'WildcardType' integer
@attribute 'classification' integer
@attribute 'ID' integer

@data 

0, 0, 0, 0, 0, 0, 1, 0, 0, 25, 1, 22, 2, 1, 9, 4, 0, 1, 1, 28, 1, 0, 1, 1, 0, 0, 21, 0, 0, 1, 36, 5, 0, 0, 4, 2, 6, 0, 0, 25, 0, 3, 0, 0, 7, 0, 0, 0, 0, 76, 8, 0, 22, 71, 0, 0, 0, 3, 1, 6, 4, 2, 206, 0, 18, 1, 0, 0, 0, 0, 0, 4, 0, 0, 4, 0, 0, 10, 10, 6, 0, 0, 0, 9
0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 5, 0, 0, 0, 0, 0, 1, 1, 9, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 4, 2, 0, 0, 0, 0, 5, 0, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 9, 4, 0, 19, 6, 0, 0, 0, 2, 1, 2, 0, 2, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 0, 0, 0, 10
0, 0, 0, 1, 1, 0, 1, 0, 4, 4, 1, 12, 0, 0, 0, 1, 0, 1, 1, 27, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 24, 4, 0, 0, 0, 1, 10, 0, 0, 3, 0, 6, 0, 0, 1, 0, 0, 0, 0, 31, 8, 0, 35, 37, 0, 0, 0, 5, 1, 3, 1, 5, 119, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 3, 0, 0, 7, 7, 3, 1, 0, 0, 11
0, 0, 0, 0, 0, 0, 1, 0, 0, 5, 1, 9, 0, 0, 0, 0, 0, 1, 1, 10, 1, 0, 1, 0, 0, 0, 2, 0, 0, 1, 6, 2, 0, 0, 2, 2, 5, 0, 0, 4, 0, 2, 0, 0, 2, 0, 0, 0, 0, 20, 4, 0, 19, 24, 0, 0, 0, 2, 1, 2, 2, 2, 68, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 4, 4, 2, 0, 0, 0, 12
0, 0, 0, 0, 0, 0, 1, 0, 4, 17, 1, 16, 0, 0, 0, 1, 0, 1, 1, 21, 1, 0, 1, 0, 0, 1, 2, 0, 0, 1, 25, 4, 1, 0, 2, 2, 8, 0, 0, 20, 0, 4, 0, 0, 0, 0, 0, 0, 0, 46, 7, 0, 28, 54, 0, 0, 1, 3, 1, 4, 3, 5, 148, 0, 9, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 0, 0, 9, 10, 3, 0, 0, 0, 13
0, 0, 0, 0, 0, 0, 1, 0, 4, 33, 1, 35, 0, 1, 16, 3, 0, 1, 1, 27, 1, 0, 1, 1, 0, 0, 21, 0, 0, 1, 44, 2, 0, 0, 5, 11, 5, 0, 0, 44, 0, 3, 0, 0, 9, 0, 0, 0, 0, 97, 9, 0, 19, 106, 0, 0, 0, 3, 1, 5, 17, 2, 264, 0, 17, 1, 0, 0, 0, 0, 0, 3, 0, 0, 13, 0, 0, 16, 16, 7, 0, 0, 0, 14
0, 0, 0, 0, 0, 0, 1, 0, 2, 1, 1, 8, 0, 0, 0, 0, 0, 1, 1, 14, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 13, 2, 0, 0, 0, 0, 5, 0, 0, 3, 0, 4, 0, 0, 1, 0, 0, 0, 0, 23, 7, 0, 19, 16, 0, 0, 0, 3, 1, 3, 1, 3, 70, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 4, 0, 0, 0, 15
0, 0, 0, 0, 0, 0, 1, 0, 0, 28, 1, 31, 0, 1, 8, 3, 0, 1, 1, 27, 1, 0, 1, 1, 0, 0, 9, 0, 0, 1, 44, 2, 0, 0, 5, 11, 5, 0, 0, 32, 0, 3, 0, 0, 9, 0, 0, 0, 0, 103, 9, 0, 19, 110, 0, 0, 0, 3, 1, 5, 13, 2, 278, 0, 22, 1, 0, 0, 0, 0, 0, 3, 0, 0, 5, 0, 0, 16, 20, 7, 0, 0, 0, 16
0, 0, 0, 0, 0, 0, 1, 0, 3, 26, 1, 31, 0, 1, 13, 3, 0, 1, 1, 26, 1, 0, 1, 1, 0, 0, 17, 0, 0, 1, 41, 2, 0, 0, 4, 9, 5, 0, 0, 36, 0, 11, 0, 0, 8, 0, 0, 0, 0, 89, 9, 0, 19, 91, 0, 0, 0, 3, 1, 5, 13, 2, 238, 0, 15, 1, 0, 0, 0, 0, 0, 3, 0, 0, 10, 0, 0, 14, 14, 7, 0, 0, 0, 17
0, 0, 0, 0, 0, 0, 1, 0, 1, 15, 1, 12, 2, 0, 3, 0, 0, 1, 1, 15, 1, 0, 1, 0, 0, 0, 4, 0, 0, 1, 14, 2, 0, 0, 2, 3, 6, 0, 0, 7, 0, 3, 0, 0, 2, 0, 0, 0, 0, 33, 5, 0, 22, 48, 0, 0, 0, 2, 1, 3, 4, 3, 114, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 6, 6, 2, 0, 0, 0, 18
